date_time,matchday,home_team,home_score,guest_score,guest_team,season
2004-10-23T15:30:00,9,Borussia Mönchengladbach,0,2,Hannover 96,2004
2004-10-23T15:30:00,9,VfL Wolfsburg,3,0,VfL Bochum,2004
2004-10-23T15:30:00,9,FC Hansa Rostock,0,2,FC Bayern München,2004
2004-10-23T15:30:00,9,Werder Bremen,4,1,1. FC Nürnberg,2004
2004-10-24T17:30:00,9,SC Freiburg,2,0,VfB Stuttgart,2004
2004-10-24T17:30:00,9,FC Schalke 04,2,1,1. FSV Mainz 05,2004
2004-10-26T20:00:00,10,FC Bayern München,2,0,VfL Wolfsburg,2004
2004-10-26T20:00:00,10,VfL Bochum,3,0,Borussia Mönchengladbach,2004
2004-10-26T20:00:00,10,Hannover 96,3,1,1. FC Kaiserslautern,2004
2004-10-26T20:00:00,10,Hertha BSC,0,1,BV Borussia Dortmund 09,2004
2004-10-27T20:00:00,10,1. FSV Mainz 05,3,1,FC Hansa Rostock,2004
2004-10-27T20:00:00,10,Bayer Leverkusen,3,2,Arminia Bielefeld,2004
2004-10-27T20:00:00,10,Hamburger SV,4,0,SC Freiburg,2004
2004-10-27T20:00:00,10,VfB Stuttgart,1,2,Werder Bremen,2004
2004-10-27T20:00:00,10,1. FC Nürnberg,0,2,FC Schalke 04,2004
2004-10-30T15:30:00,11,SC Freiburg,1,3,Hertha BSC,2004
2004-10-30T15:30:00,11,BV Borussia Dortmund 09,1,0,Bayer Leverkusen,2004
2004-10-30T15:30:00,11,Hannover 96,3,0,VfL Bochum,2004
2004-10-30T15:30:00,11,Borussia Mönchengladbach,2,0,FC Bayern München,2004
2004-10-30T15:30:00,11,VfL Wolfsburg,4,3,1. FSV Mainz 05,2004
2004-10-30T15:30:00,11,FC Schalke 04,3,2,VfB Stuttgart,2004
2004-10-30T15:30:00,11,Werder Bremen,1,1,Hamburger SV,2004
2004-10-31T17:30:00,11,1. FC Kaiserslautern,2,1,Arminia Bielefeld,2004
2004-10-31T17:30:00,11,FC Hansa Rostock,0,2,1. FC Nürnberg,2004
2004-11-06T15:30:00,12,1. FSV Mainz 05,1,1,Borussia Mönchengladbach,2004
2004-11-06T15:30:00,12,FC Bayern München,3,0,Hannover 96,2004
2004-11-06T15:30:00,12,VfL Bochum,1,1,1. FC Kaiserslautern,2004
2004-11-06T15:30:00,12,Arminia Bielefeld,1,0,BV Borussia Dortmund 09,2004
2004-11-06T15:30:00,12,Bayer Leverkusen,4,1,SC Freiburg,2004
2004-11-06T15:30:00,12,Hertha BSC,1,1,Werder Bremen,2004
2004-11-06T15:30:00,12,1. FC Nürnberg,4,0,VfL Wolfsburg,2004
2004-11-07T17:30:00,12,Hamburger SV,1,2,FC Schalke 04,2004
2004-11-07T17:30:00,12,VfB Stuttgart,4,0,FC Hansa Rostock,2004
2004-11-13T15:30:00,13,1. FC Kaiserslautern,1,0,BV Borussia Dortmund 09,2004
2004-11-13T15:30:00,13,SC Freiburg,2,3,Arminia Bielefeld,2004
2004-11-13T15:30:00,13,Hannover 96,2,0,1. FSV Mainz 05,2004
2004-11-13T15:30:00,13,Borussia Mönchengladbach,2,1,1. FC Nürnberg,2004
2004-11-13T15:30:00,13,VfL Wolfsburg,3,0,VfB Stuttgart,2004
2004-11-13T15:30:00,13,FC Schalke 04,1,3,Hertha BSC,2004
2004-11-13T15:30:00,13,Werder Bremen,2,2,Bayer Leverkusen,2004
2004-11-14T17:30:00,13,VfL Bochum,1,3,FC Bayern München,2004
2004-11-14T17:30:00,13,FC Hansa Rostock,0,6,Hamburger SV,2004
