date_time,matchday,home_team,home_score,guest_score,guest_team,season
2021-01-22 20:30:00,18,Borussia Mönchengladbach,4,2,BV Borussia Dortmund 09,2020
2021-01-23 15:30:00,18,Arminia Bielefeld,1,5,Eintracht Frankfurt,2020
2021-01-23 15:30:00,18,FC Augsburg,2,1,1. FC Union Berlin,2020
2021-01-23 15:30:00,18,Bayer Leverkusen,0,1,VfL Wolfsburg,2020
2021-01-23 15:30:00,18,SC Freiburg,2,1,VfB Stuttgart,2020
2021-01-23 15:30:00,18,1. FSV Mainz 05,3,2,RB Leipzig,2020
2021-01-23 18:30:00,18,Hertha BSC,1,4,Werder Bremen,2020
2021-01-24 15:30:00,18,FC Schalke 04,0,4,FC Bayern München,2020
2021-01-24 18:00:00,18,TSG 1899 Hoffenheim,3,0,1. FC Köln,2020
